"Spectral_Metric","Plant_Metric","Correlation","p_val","R_squared","Significance"
"beta_agg_sum_squares","FD_Beta_Turnover_m2_TopDown",0.216451898655253,0.298694641606588,0.0468514244314637,"ns"
"beta_agg_dispersion","FD_Beta_Turnover_m1_TopDown",0.214535351577586,0.303097862360751,0.0460254170765184,"ns"
"beta_agg_dispersion","FD_Beta_Turnover_m2_TopDown",0.214468916821363,0.303251212713654,0.0459969162825287,"ns"
"beta_agg_sum_squares","FD_Beta_Dispersion_m2_TopDown",0.206185842868151,0.322747300474113,0.0425126017992499,"ns"
"beta_agg_dispersion","FD_Beta_Dispersion_m1_TopDown",0.190811753817663,0.360901498041985,0.0364091253949725,"ns"
"beta_agg_sum_squares","FD_Beta_Turnover_m1_TopDown",0.187739495368213,0.368829739780327,0.0352461181211114,"ns"
"beta_agg_sum_squares","FD_RaoQ_m1_TopDown",0.187336364440002,0.369877500496569,0.0350949134415974,"ns"
"beta_agg_dispersion","FD_FDis_m1_TopDown",0.181698772206824,0.384709975184074,0.0330144438214673,"ns"
"beta_agg_dispersion","FD_Beta_Dispersion_m2_TopDown",0.18036763952216,0.388261003922487,0.0325324853867958,"ns"
"beta_agg_sum_squares","FD_FDis_m1_TopDown",0.179243674052076,0.391273827625349,0.0321282946876868,"ns"
"beta_agg_sum_squares","FD_Beta_Dispersion_m1_TopDown",0.175986949107234,0.400077993006074,0.0309714062560722,"ns"
"Beta_dispersion","FD_Beta_Turnover_m2_TopDown",0.156845423786008,0.454019766592316,0.0246004869626126,"ns"
"beta_agg_dispersion","FD_RaoQ_m1_TopDown",0.155444943667927,0.458110512923647,0.0241631305119251,"ns"
"beta_agg_sum_squares","FD_RaoQ_m2_TopDown",0.139628614683011,0.505619770787791,0.0194961500382968,"ns"
"Beta_dispersion","FD_Beta_Dispersion_m2_TopDown",0.134163822288136,0.522578039188977,0.0179999312109626,"ns"
"Beta_dispersion","FD_Beta_Turnover_m1_TopDown",0.132521322566581,0.527727722069763,0.0175619009347959,"ns"
"sum_squares","FD_Beta_Turnover_m2_TopDown",0.132290648302608,0.528452876303536,0.0175008156283244,"ns"
"sum_squares","FD_Beta_Dispersion_m2_TopDown",0.131779526986552,0.530061336796315,0.0173658437327994,"ns"
"Beta_dispersion","FD_Beta_Dispersion_m1_TopDown",0.121403884269284,0.563205092142888,0.0147389031156698,"ns"
"Beta_agg_avg_pairwise","FD_FDis_m1_TopDown",0.109703212416628,0.601660475279693,0.0120347948145279,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Turnover_m2_TopDown",0.10786732633874,0.607793045615023,0.0116353600914682,"ns"
"beta_agg_sum_squares","FD_FDis_m2_TopDown",0.095850285923379,0.648557243363282,0.00918727731159351,"ns"
"Beta_avg_pairwise","FD_FDis_m2_TopDown",-0.0929558809186914,0.658530111139224,0.00864079579736994,"ns"
"sum_squares","FD_RaoQ_m1_TopDown",0.0907180484686122,0.66627986271204,0.00822976431795346,"ns"
"Beta_agg_avg_pairwise","FD_RaoQ_m1_TopDown",0.0897245589342845,0.669731119980666,0.00805049647595189,"ns"
"sum_squares","FD_Beta_Turnover_m1_TopDown",0.0826972373430258,0.694325724801344,0.00683883306416874,"ns"
"Beta_avg_pairwise","FD_RaoQ_m2_TopDown",-0.0799999507345948,0.703847817566806,0.00639999211753759,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Turnover_m1_TopDown",0.0797336120953282,0.704790441333429,0.00635744889776827,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Dispersion_m2_TopDown",0.0789958343163987,0.707403784821186,0.00624034183934391,"ns"
"sum_squares","FD_Beta_Dispersion_m1_TopDown",0.0758188994498736,0.718693525314782,0.00574850551379004,"ns"
"beta_agg_dispersion","FD_FDis_m2_TopDown",0.074409344576745,0.723721171261586,0.00553675056034076,"ns"
"beta_agg_dispersion","FD_RaoQ_m2_TopDown",0.0653898822739459,0.756147839966824,0.00427583670380051,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Dispersion_m1_TopDown",0.0618865592689449,0.768855209756403,0.00382994621814863,"ns"
"sum_squares","FD_FDis_m1_TopDown",0.0616516296145042,0.769709471079752,0.00380092343412401,"ns"
"Beta_dispersion","FD_RaoQ_m2_TopDown",-0.0550636647083746,0.793767733141278,0.00303200717111629,"ns"
"Beta_avg_pairwise","FD_Beta_Turnover_m2_TopDown",0.0545645854880703,0.795598075985914,0.00297729398948493,"ns"
"Beta_dispersion","FD_FDis_m2_TopDown",-0.0479297134754614,0.820027301545328,0.00229725743383982,"ns"
"sum_squares","FD_FDis_m2_TopDown",-0.0400275842241469,0.849334735048599,0.00160220749882118,"ns"
"Beta_dispersion","FD_FDis_m1_TopDown",0.0399957130927815,0.849453360015383,0.00159965706580009,"ns"
"Beta_avg_pairwise","FD_RaoQ_m1_TopDown",0.0381738376565916,0.856239626546487,0.00145724188143181,"ns"
"Beta_avg_pairwise","FD_Beta_Dispersion_m2_TopDown",0.0349290420958076,0.86835040094766,0.0012200379817307,"ns"
"Beta_dispersion","FD_RaoQ_m1_TopDown",0.029145673422696,0.890006011251417,0.000849470279262449,"ns"
"Beta_avg_pairwise","FD_FDis_m1_TopDown",0.0241929236569181,0.908613061446166,0.000585297555069468,"ns"
"sum_squares","FD_RaoQ_m2_TopDown",0.0240978446561148,0.908970754222709,0.000580706117070242,"ns"
"Beta_avg_pairwise","FD_Beta_Turnover_m1_TopDown",0.0227845174485488,0.913913300618216,0.000519134235363226,"ns"
"Beta_avg_pairwise","FD_Beta_Dispersion_m1_TopDown",0.0117508034175699,0.955542751935674,0.000138081380958373,"ns"
"Beta_agg_avg_pairwise","FD_FDis_m2_TopDown",0.00737732233932495,0.972080932526952,5.44248848983029e-05,"ns"
"Beta_agg_avg_pairwise","FD_RaoQ_m2_TopDown",-0.0026337860354778,0.990030926045478,6.93682888067784e-06,"ns"
